('17850.0', 3.9852380952380946)
('13047.0', 4.899411764705883)
('12583.0', 2.7645)
('13748.0', 2.55)
('15100.0', 10.95)
('15291.0', 3.0)
('14688.0', 1.7552631578947369)
('17809.0', 1.45)
('15311.0', 2.579166666666668)
('14527.0', 27.5)
('16098.0', 5.970833333333334)
('18074.0', 4.7807692307692315)
('17420.0', 5.57142857142857)
('16029.0', 2.68875)
('16250.0', 3.376428571428572)
('12431.0', 5.278571428571429)
('17511.0', 2.452916666666667)
('17548.0', 1.3242857142857145)
('13705.0', 18.398999999999997)
('13747.0', 9.95)
('13408.0', 2.188181818181818)
('13767.0', 2.5707142857142857)
('17924.0', 4.65)
('13448.0', 3.624444444444445)
('15862.0', 3.2349999999999994)
('15513.0', 3.1166666666666667)
('12791.0', 8.425)
('16218.0', 1.1696428571428574)
('14045.0', 2.55)
('14307.0', 2.4031250000000006)
('17908.0', 2.67258620689655)
('17920.0', 2.7877777777777766)
('', 5.845640350877205)
('12838.0', 1.9733898305084747)
('13255.0', 4.55)
('16583.0', 2.5642857142857145)
('18085.0', 3.8444444444444446)
('13758.0', 3.620588235294118)
('13694.0', 1.7633333333333334)
('15983.0', 1.8790624999999999)
('14849.0', 3.342941176470589)
('17968.0', 1.929176470588234)
('16210.0', 2.5885714285714285)
('17897.0', 2.7505555555555556)
('17377.0', 2.8133333333333335)
('16552.0', 4.638)
('17181.0', 0.805)
('17951.0', 4.4)
('14729.0', 2.1591549295774644)
('12748.0', 4.95)
('15012.0', 2.7072222222222218)
('12868.0', 3.170833333333333)
('17572.0', 2.95)
('14078.0', 3.49)
('14001.0', 4.415555555555557)
('12662.0', 2.9579999999999997)
('15525.0', 3.346666666666667)
('14237.0', 7.122222222222222)
('17905.0', 4.7782608695652184)
('15485.0', 4.017826086956521)
('12433.0', 1.4064383561643836)
('16955.0', 6.675)
('15350.0', 2.6700000000000004)
('15605.0', 4.850000000000001)
('18144.0', 2.6300000000000003)
('15922.0', 4.409090909090909)
('14594.0', 3.0087096774193554)
('15165.0', 4.987037037037037)
('14911.0', 6.3638095238095245)
('16456.0', 1.9656249999999995)
('17841.0', 3.8005970149253705)
('12472.0', 3.5321428571428575)
('17346.0', 2.2508571428571433)
('17643.0', 4.01875)
('17873.0', 2.0166666666666666)
('13093.0', 5.180769230769231)
('12921.0', 2.4833333333333334)
('13468.0', 5.085000000000001)
('17760.0', 2.6244444444444444)
('16928.0', 1.25)
('16048.0', 1.6212499999999999)
('16274.0', 4.277611940298504)
('14496.0', 5.358)
('14696.0', 2.3216666666666668)
('16539.0', 2.407142857142858)
('17025.0', 1.972)
('13777.0', 2.0500000000000003)
('17690.0', 2.4857142857142853)
('12947.0', 2.9605882352941175)
('17460.0', 9.95)
('18229.0', 6.95)
('14142.0', 1.7704545454545455)
('17069.0', 3.2954545454545454)
('13065.0', 5.222142857142858)
('14606.0', 2.9487500000000013)
('16835.0', 5.34)
('15235.0', 2.71)
('13576.0', 3.2763636363636364)
('18011.0', 2.361071428571428)
